"Date","Price","Open","High","Low","Vol.","Change %"
"10/24/2021","4,605.38","4,553.69","4,608.08","4,537.36","","1.33%"
"10/17/2021","4,544.90","4,463.72","4,559.67","4,447.47","","1.64%"
"10/10/2021","4,471.37","4,385.44","4,475.82","4,329.92","","1.82%"
"10/03/2021","4,391.34","4,348.84","4,429.97","4,278.94","","0.79%"
"09/26/2021","4,357.04","4,442.12","4,457.30","4,288.52","","-2.21%"
"09/19/2021","4,455.48","4,402.95","4,465.40","4,305.91","","0.51%"
"09/12/2021","4,432.99","4,474.81","4,492.99","4,427.76","","-0.57%"
"09/05/2021","4,458.58","4,535.38","4,535.38","4,457.66","","-1.69%"
"08/29/2021","4,535.43","4,513.76","4,545.85","4,513.76","","0.58%"
"08/22/2021","4,509.37","4,450.29","4,513.33","4,450.29","","1.52%"
"08/15/2021","4,441.67","4,461.65","4,480.26","4,367.73","","-0.59%"
"08/08/2021","4,468.00","4,437.77","4,468.37","4,424.74","","0.71%"
"08/01/2021","4,436.52","4,406.86","4,440.82","4,373.00","","0.94%"
"07/25/2021","4,395.26","4,409.58","4,429.97","4,372.51","","-0.37%"
"07/18/2021","4,411.79","4,296.40","4,415.18","4,233.13","","1.96%"
"07/11/2021","4,327.16","4,372.41","4,393.68","4,322.53","","-0.97%"
"07/04/2021","4,369.55","4,356.46","4,371.60","4,289.37","","0.40%"
"06/27/2021","4,352.34","4,284.90","4,355.43","4,274.67","","1.67%"
"06/20/2021","4,280.70","4,173.40","4,286.12","4,173.40","","2.74%"
"06/13/2021","4,166.45","4,248.31","4,257.16","4,164.40","","-1.91%"
"06/06/2021","4,247.44","4,229.34","4,249.74","4,208.41","","0.41%"
"05/30/2021","4,229.89","4,216.52","4,234.12","4,167.93","","0.61%"
"05/23/2021","4,204.11","4,170.16","4,218.36","4,170.16","","1.16%"
"05/16/2021","4,155.86","4,169.92","4,188.72","4,061.41","","-0.43%"
"05/09/2021","4,173.85","4,228.29","4,236.39","4,056.88","","-1.39%"
"05/02/2021","4,232.60","4,191.98","4,238.04","4,128.59","","1.23%"
"04/25/2021","4,181.17","4,185.03","4,218.78","4,174.85","","0.02%"
"04/18/2021","4,180.17","4,179.80","4,194.17","4,118.38","","-0.13%"
"04/11/2021","4,185.47","4,124.71","4,191.31","4,114.82","","1.37%"
"04/04/2021","4,128.80","4,034.44","4,129.48","4,034.44","","2.71%"
