time,Mkt-RF,RF
20150917,-0.17,0
20150918,-1.62,0
20150921,0.36,0
20150922,-1.29,0
20150923,-0.27,0
20150924,-0.36,0
20150925,-0.22,0
20150928,-2.63,0
20150929,-0.07,0
20150930,1.88,0
20151001,0.13,0
20151002,1.48,0
20151005,1.93,0
20151006,-0.43,0
20151007,0.94,0
20151008,0.84,0
20151009,0.12,0
20151012,0.06,0
20151013,-0.74,0
20151014,-0.6,0
20151015,1.56,0
20151016,0.36,0
20151019,0,0
20151020,-0.15,0
20151021,-0.74,0
20151022,1.5,0
20151023,1.09,0
20151026,-0.2,0
20151027,-0.42,0
20151028,1.43,0
20151029,-0.2,0
20151030,-0.42,0
20151102,1.25,0
20151103,0.32,0
20151104,-0.26,0
20151105,-0.08,0
20151106,0.14,0
20151109,-0.95,0
20151110,0.13,0
20151111,-0.43,0
20151112,-1.45,0
20151113,-1.07,0
20151116,1.39,0
20151117,-0.11,0
20151118,1.61,0
20151119,-0.13,0
20151120,0.36,0
20151123,-0.01,0
20151124,0.21,0
20151125,0.09,0
20151127,0.09,0
20151130,-0.47,0
20151201,0.97,0
20151202,-1.01,0
20151203,-1.5,0
20151204,1.87,0
20151207,-0.83,0
20151208,-0.59,0
20151209,-0.83,0
20151210,0.3,0
20151211,-2.03,0
20151214,0.29,0
20151215,1.1,0
20151216,1.47,0
20151217,-1.46,0
20151218,-1.7,0
20151221,0.74,0
20151222,0.89,0
20151223,1.29,0
20151224,-0.11,0
20151228,-0.28,0
20151229,1.05,0
20151230,-0.74,0
20151231,-0.92,0
20160104,-1.59,0
20160105,0.12,0
20160106,-1.35,0
20160107,-2.44,0
20160108,-1.11,0
20160111,-0.06,0
20160112,0.72,0
20160113,-2.67,0
20160114,1.65,0
20160115,-2.14,0
20160119,-0.19,0
20160120,-0.94,0
20160121,0.45,0
20160122,2.08,0
20160125,-1.71,0
20160126,1.52,0
20160127,-1.11,0
20160128,0.49,0
20160129,2.57,0
20160201,-0.04,0.001
20160202,-2,0.001
20160203,0.46,0.001
20160204,0.27,0.001
20160205,-2.06,0.001
20160208,-1.51,0.001
20160209,-0.09,0.001
20160210,0.01,0.001
20160211,-1.17,0.001
20160212,1.99,0.001
20160216,1.78,0.001
20160217,1.75,0.001
20160218,-0.51,0.001
20160219,0.06,0.001
20160222,1.43,0.001
20160223,-1.22,0.001
20160224,0.53,0.001
20160225,1.1,0.001
20160226,-0.01,0.001
20160229,-0.69,0.001
20160301,2.34,0.001
20160302,0.54,0.001
20160303,0.5,0.001
20160304,0.37,0.001
20160307,0.21,0.001
20160308,-1.27,0.001
20160309,0.5,0.001
20160310,-0.11,0.001
20160311,1.69,0.001
20160314,-0.12,0.001
20160315,-0.36,0.001
20160316,0.63,0.001
20160317,0.72,0.001
20160318,0.54,0.001
20160321,0.1,0.001
20160322,-0.05,0.001
20160323,-0.86,0.001
20160324,0,0.001
20160328,0.04,0.001
20160329,1.07,0.001
20160330,0.41,0.001
20160331,-0.11,0.001
20160401,0.64,0
20160404,-0.41,0
20160405,-0.94,0
20160406,1.14,0
20160407,-1.23,0
20160408,0.29,0
20160411,-0.28,0
20160412,0.99,0
20160413,1.23,0
20160414,0.03,0
20160415,-0.04,0
20160418,0.65,0
20160419,0.29,0
20160420,0.15,0
20160421,-0.47,0
20160422,0.12,0
20160425,-0.24,0
20160426,0.29,0
20160427,0.21,0
20160428,-0.96,0
20160429,-0.5,0
20160502,0.79,0.001
20160503,-1.05,0.001
20160504,-0.66,0.001
20160505,-0.08,0.001
20160506,0.38,0.001
20160509,0.05,0.001
20160510,1.26,0.001
20160511,-0.89,0.001
20160512,-0.11,0.001
20160513,-0.82,0.001
20160516,0.99,0.001
20160517,-0.95,0.001
20160518,0.1,0.001
20160519,-0.33,0.001
20160520,0.75,0.001
20160523,-0.18,0.001
20160524,1.43,0.001
20160525,0.72,0.001
20160526,-0.04,0.001
20160527,0.49,0.001
20160531,-0.01,0.001
20160601,0.2,0.001
20160602,0.35,0.001
20160603,-0.38,0.001
20160606,0.6,0.001
20160607,0.12,0.001
20160608,0.37,0.001
20160609,-0.27,0.001
20160610,-1.05,0.001
20160613,-0.83,0.001
20160614,-0.19,0.001
20160615,-0.11,0.001
20160616,0.24,0.001
20160617,-0.3,0.001
20160620,0.71,0.001
20160621,0.21,0.001
20160622,-0.2,0.001
20160623,1.45,0.001
20160624,-3.7,0.001
20160627,-2.07,0.001
20160628,1.76,0.001
20160629,1.8,0.001
20160630,1.42,0.001
20160701,0.24,0.001
20160705,-0.85,0.001
20160706,0.62,0.001
20160707,0.02,0.001
20160708,1.6,0.001
20160711,0.43,0.001
20160712,0.75,0.001
20160713,-0.05,0.001
20160714,0.51,0.001
20160715,-0.05,0.001
20160718,0.25,0.001
20160719,-0.22,0.001
20160720,0.48,0.001
20160721,-0.38,0.001
20160722,0.48,0.001
20160725,-0.27,0.001
20160726,0.13,0.001
20160727,-0.14,0.001
20160728,0.18,0.001
20160729,0.17,0.001
20160801,-0.16,0.001
20160802,-0.7,0.001
20160803,0.45,0.001
20160804,0.05,0.001
20160805,0.93,0.001
20160808,-0.06,0.001
20160809,0.05,0.001
20160810,-0.29,0.001
20160811,0.54,0.001
20160812,-0.06,0.001
20160815,0.39,0.001
20160816,-0.57,0.001
20160817,0.12,0.001
20160818,0.32,0.001
20160819,-0.11,0.001
20160822,-0.02,0.001
20160823,0.27,0.001
20160824,-0.55,0.001
20160825,-0.08,0.001
20160826,-0.15,0.001
20160829,0.53,0.001
20160830,-0.14,0.001
20160831,-0.24,0.001
20160901,0.03,0.001
20160902,0.53,0.001
20160906,0.26,0.001
20160907,0.09,0.001
20160908,-0.18,0.001
